text,salim
สู้ๆค่ะ เป็นกำลังให้ทุกคนที่ไม่ยอมท้อถอย❤️,0
ยึดทรัพย์​ด้วยสิ,1
แผ่นดินจะสู้งชึ้นอีกเย่อะๆก็ต้องเอาพวกชังชาติเข้าไปอยู่ในคุกแล้วก็ตัดสินประหารทีละคนเพราะว่าพูดให้ประเทศแตกแยกน่ะจริงไหมคร้าบท่าน,1
สลิ่มไม่รู้จักโรงเรียนอินเตอร์ 😑,0
วันนี้จากเหตุการณ์ เกิดคำถามขึ้นมาว่า....คิดจะไล่ลุงอะ มึงถามคนที่สวนลุมยัง55555555,1
Narongsank Chaichana ก้สส ฝ่ายรัฐบาลทั้งหมดนั่นละครับ ฝ่ายค้านไม่มีใครไม่เหนด้วยอยู่แล้ว.,0
เอาไงต่อจัดการเลย,0
ค่าของคน อยู่ที่ไหน ก็ดูเอาคร้าบผม พูดถึงทุกคนแหละคร้าบ อย่าหยุดทำดี ตัวเร่ด้วยครับ,1
"ทำหน้าเป็นหมาหงอยเลยมึง..หงอยยันหมอก""10ปีคงไม่น่าพอต่อคุกอีกนีสมั้ย",1
ขังด้วยค่ะปรับไม่พอ,1
Jarupa Sukasem พรรคร่วมก็มีส่วนสนับสนุน,0
คนเรารู้หน้าไม่รู้ใจอาจได้เงินเต็มเป๋าก็ได้,1
การลงทุนให้กู้ยืมครั้งนี้ได้เกินคุ้มจริงๆ,1
ขอให้ได้นะคับ,1
Ple'z Phraart เบาๆแม่😂😂,0
เงินที่ได้มาโดยมิชอบ สมควรโดนยึดให้หมด พวกเผาบ้านเผาเมืองตัวเองสมแล้วๆๆ,1
+1 ครับ,0
Isra Iemsri การลงถนนไม่ช่วยอะไรนอกจากจะพาทุกคนไปตายฟรี เรากำลังสู้อยู่กับอำนาจที่มองไม่เห็น คุณไม่รู้ถึงความน่ากลัวของอำนาจนี้หรอก ต้องรอเวลาอีกนิด ต้องคิดให้รอบคอบเพราะถ้าแพ้ก็จะต้องเป็นทาสตลอดไป,0
เป็นกำลังใจกับเจ้าหน้าที่ทุกคนเลยนะคะ ขอให้ทุกท่านปลอดภัยนะคะและกลับสู่ภาวะปกติโดยเร็วค่ะ #saveภูกระดึง,1
Pook Sukonta Berthebaud +1,0
Ittipan Sukpram อีกอย่างผมไม่ใช่ขอทานนะครับ เป็นทหารแม้จะเงินเดือนไม่มาก และโดนทหารใหญ่เอาเปรียบตามภาษา คนรวยๆดีๆแบบคุณคงไม่เข้าใจออกครับ เพื่อนคุณเป็นถึง พลตรี,1
อา เริธ พระเอกทหารกำลังมา,0
สวัสดี​ปีใหม่​ค่ะ​ คุณ​หมอ🙏💕🇹🇭,1
ถือเป็นคำชมครับ 🤣🤣,1
เชื่อมั่นเสมอค่ะ,1
